[Object Name]                     ,  [Type]  ,  [Host]        ,  [Login]             ,  [Active]  ,  [Earliest Time] ,  [Calendars]                       ,  [Object Used In]                  ,  [Object Dependencies]             
UC4_RF.DB_ORACLE.EXPORT_DB@UNIX   ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DB_ORACLE.EXPORT_DB:JOBP} ,                                    
UC4_RF.DB_ORACLE.EXPORT_DB@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DB_ORACLE.EXPORT_DB:JOBP} ,                                    
UC4_RF.DB_ORACLE.IMPORT_DB        ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.DB_ORACLE.IMPORT_DB@UNIX   ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DB_ORACLE.IMPORT_DB:JOBP} ,                                    
UC4_RF.DB_ORACLE.IMPORT_DB@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DB_ORACLE.IMPORT_DB:JOBP} ,                                    
UC4_RF.DB_ORACLE.REVOKE_GRANT     ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.DB_ORACLE.REVOKE_GRANT@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DB_ORACLE.REVOKE_GRANT:JOBP},                                    
UC4_RF.DB_ORACLE.REVOKE_GRANT@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DB_ORACLE.REVOKE_GRANT:JOBP},                                    
UC4_RF.DF_GEN.PREPARE_SET_OWNER@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.FI_SYS.RB_PREPARE_SET_OWNER:JOBP},                                    
UC4_RF.DF_GEN.RB_COPY@UNIX        ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.FI_SYS.RB_COPY:JOBP}{UC4_RF.FI_SYS.RB_MOVE:JOBP},                                    
UC4_RF.DF_GEN.RB_COPY@WINDOWS     ,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.FI_SYS.RB_COPY:JOBP}{UC4_RF.FI_SYS.RB_MOVE:JOBP},                                    
UC4_RF.DF_GEN.RB_PREPARE_COPY@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.FI_SYS.RB_PREPARE_COPY:JOBP}{UC4_RF.FI_SYS.RB_PREPARE_MOVE:JOBP},                                    
UC4_RF.DF_GEN.RB_PREPARE_COPY@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.FI_SYS.RB_PREPARE_COPY:JOBP}{UC4_RF.FI_SYS.RB_PREPARE_MOVE:JOBP},                                    
UC4_RF.DF_GEN.RB_PREPARE_SET_OWNER@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.FI_SYS.RB_PREPARE_SET_OWNER:JOBP},                                    
UC4_RF.DS_LDAP.ADD                ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.DS_LDAP.ADD@UNIX           ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DS_LDAP.ADD:JOBP}         ,                                    
UC4_RF.DS_LDAP.ADD@WINDOWS        ,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DS_LDAP.ADD:JOBP}         ,                                    
UC4_RF.DS_LDAP.AUTHENTICATE_USER  ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.DS_LDAP.AUTHENTICATE_USER@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DS_LDAP.AUTHENTICATE_USER:JOBP},                                    
UC4_RF.DS_LDAP.AUTHENTICATE_USER@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.DS_LDAP.AUTHENTICATE_USER:JOBP},                                    
UC4_RF.DS_LDAP.CHECK_ATTRIBUTE    ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
